A,,,,Proposed category,Subcategory(If applied),PureURL
SQRT,Returns the square-root of a non-negative numeric expression.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/sqrt
SQUARE,Returns the square of a numeric expression (i.e. a numeric expression multiplied by itself).,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/square
ST_AREA,Returns the area of the Polygon(s) in a GEOGRAPHY or GEOMETRY object.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_area
ST_ASEWKB,"Given a value of type GEOGRAPHY or GEOMETRY, return the binary representation of that value in EWKB (extended well-known binary) format.",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_asewkb
ST_ASEWKT,"Given a value of type GEOGRAPHY or GEOMETRY, return the text (VARCHAR) representation of that value in EWKT (extended well-known text) format.",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_asewkt
ST_ASGEOJSON,"Given a value of type GEOGRAPHY or GEOMETRY, return the GeoJSON representation of that value.",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_asgeojson
"ST_ASWKB , ST_ASBINARY","Given a value of type GEOGRAPHY or GEOMETRY, return the binary representation of that value in WKB (well-known binary) format.",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_aswkb
"ST_ASWKT , ST_ASTEXT","Given a value of type GEOGRAPHY or GEOMETRY, return the text (VARCHAR) representation of that value in WKT (well-known text) format.",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_aswkt
ST_AZIMUTH,"Given a Point that represents the origin (the location of the observer) and a specified Point, returns the azimuth in radians.",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_azimuth
ST_BUFFER,Returns a GEOMETRY object that represents a MultiPolygon containing the points within a specified distance of the input GEOMETRY object.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_buffer
ST_CENTROID,Returns the Point representing the geometric center of a GEOGRAPHY or GEOMETRY object.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_centroid
ST_COLLECT,There are two forms of ST_COLLECT.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_collect
ST_CONTAINS,Returns TRUE if a GEOGRAPHY or GEOMETRY object is completely inside another object of the same type.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_contains
ST_COVEREDBY,Returns TRUE if no point in one geospatial object is outside another geospatial object.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_coveredby
ST_COVERS,Returns TRUE if no point in one geospatial object is outside of another geospatial object.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_covers
ST_DIFFERENCE,"Given two input GEOGRAPHY objects, returns a GEOGRAPHY object that represents the points in the first object that are not in the second object (i.e. the difference between the two objects).",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_difference
ST_DIMENSION,"Given a value of type GEOGRAPHY or GEOMETRY, return the “dimension” of the value.",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_dimension
ST_DISJOINT,Returns TRUE if the two GEOGRAPHY objects or the two GEOMETRY objects are disjoint (i.e. do not share any portion of space).,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_disjoint
ST_DISTANCE,Returns the minimum geodesic distance between two GEOGRAPHY or the minimum Euclidean distance between two GEOMETRY objects.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_distance
ST_DWITHIN,Returns TRUE if the minimum geodesic distance between two points (two GEOGRAPHY objects) is within the specified distance.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_dwithin
ST_ENDPOINT,Returns the last Point in a LineString.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_endpoint
ST_ENVELOPE,Returns the minimum bounding box (a rectangular “envelope”) that encloses a specified GEOGRAPHY or GEOMETRY object.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_envelope
ST_GEOGFROMGEOHASH,Returns a GEOGRAPHY object for the polygon that represents the boundaries of a geohash.,"Geospatial functions , Conversion functions",,conversion,geospatial,https://docs.snowflake.com/en/sql-reference/functions/st_geogfromgeohash
ST_GEOGPOINTFROMGEOHASH,Returns a GEOGRAPHY object for the Point that represents the center of a geohash.,"Geospatial functions , Conversion functions",,conversion,geospatial,https://docs.snowflake.com/en/sql-reference/functions/st_geogpointfromgeohash
ST_GEOGRAPHYFROMWKB,Parses a WKB (well-known binary) or EWKB (extended well-known binary) input and returns a value of type GEOGRAPHY.,"Geospatial functions , Conversion functions",,conversion,geospatial,https://docs.snowflake.com/en/sql-reference/functions/st_geographyfromwkb
ST_GEOGRAPHYFROMWKT,Parses a WKT (well-known text) or EWKT (extended well-known text) input and returns a value of type GEOGRAPHY.,"Geospatial functions , Conversion functions",,conversion,geospatial,https://docs.snowflake.com/en/sql-reference/functions/st_geographyfromwkt
ST_GEOHASH,Returns the geohash for a GEOGRAPHY or GEOMETRY object.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_geohash
ST_GEOMETRYFROMWKB,Parses a WKB (well-known binary) or EWKB (extended well-known binary) input and returns a value of type GEOMETRY.,"Geospatial functions , Conversion functions",,conversion,geospatial,https://docs.snowflake.com/en/sql-reference/functions/st_geometryfromwkb
ST_GEOMETRYFROMWKT,Parses a WKT (well-known text) or EWKT (extended well-known text) input and returns a value of type GEOMETRY.,"Geospatial functions , Conversion functions",,conversion,geospatial,https://docs.snowflake.com/en/sql-reference/functions/st_geometryfromwkt
ST_GEOMFROMGEOHASH,Returns a GEOMETRY object for the polygon that represents the boundaries of a geohash.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_geomfromgeohash
ST_GEOMPOINTFROMGEOHASH,Returns a GEOMETRY object for the point that represents center of a geohash.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_geompointfromgeohash
ST_HAUSDORFFDISTANCE,Returns the discrete Hausdorff distance between two GEOGRAPHY objects.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_hausdorffdistance
ST_INTERPOLATE,"Given an input GEOGRAPHY object, returns an interpolated object that is within a specified tolerance.",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_interpolate
ST_INTERSECTION,"Given two input GEOGRAPHY objects, returns a GEOGRAPHY object that represents the shape containing the set of points that are common to both input objects (i.e. the intersection of the two objects).",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_intersection
ST_INTERSECTION_AGG,"Given a GEOGRAPHY column, returns a GEOGRAPHY object that represents the shape containing the combined set of points that are common to the shapes represented by the objects in the column (that is, the intersection of the shapes).",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_intersection_agg
ST_INTERSECTS,Returns TRUE if the two GEOGRAPHY objects or the two GEOMETRY objects intersect (i.e. share any portion of space).,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_intersects
ST_ISVALID,Returns TRUE if the specified GEOGRAPHY or GEOMETRY object represents a valid shape.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_isvalid
ST_LENGTH,Returns the geodesic length of the LineString(s) in a GEOGRAPHY object or the Euclidean length of the LineString(s) in a GEOMETRY object.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_length
"ST_MAKEGEOMPOINT , ST_GEOMPOINT",Constructs a GEOMETRY object that represents a Point with the specified longitude and latitude.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_makegeompoint
ST_MAKELINE,Constructs a GEOGRAPHY or GEOMETRY object that represents a line connecting the points in the input objects.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_makeline
"ST_MAKEPOINT , ST_POINT",Constructs a GEOGRAPHY object that represents a point with the specified longitude and latitude.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_makepoint
"ST_MAKEPOLYGON , ST_POLYGON",Constructs a GEOGRAPHY or GEOMETRY object that represents a Polygon without holes.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_makepolygon
ST_MAKEPOLYGONORIENTED,Constructs a GEOGRAPHY object that represents a Polygon without holes.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_makepolygonoriented
"ST_NPOINTS , ST_NUMPOINTS",Returns the number of points in a GEOGRAPHY or GEOGRAPHY object.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_npoints
ST_PERIMETER,Returns the length of the perimeter of the polygon(s) in a GEOGRAPHY or GEOMETRY object.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_perimeter
ST_POINTN,Returns a Point at a specified index in a LineString.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_pointn
ST_SETSRID,Returns a GEOMETRY object that has its SRID (spatial reference system identifier) set to the specified value.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_setsrid
ST_SIMPLIFY,"Given an input GEOGRAPHY or GEOMETRY object that represents a Line or Polygon, returns a simpler approximation of the object.",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_simplify
ST_SRID,Returns the SRID (spatial reference system identifier) of a GEOGRAPHY or GEOMETRY object.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_srid
ST_STARTPOINT,Returns the first Point in a LineString.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_startpoint
ST_SYMDIFFERENCE,"Given two input GEOGRAPHY objects, returns a GEOGRAPHY object that represents the set of points from both input objects that are not part of the intersection of the objects (i.e. the symmetric difference of the two objects).",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_symdifference
ST_TRANSFORM,Converts a GEOMETRY object from one spatial reference system (SRS) to another.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_transform
ST_UNION,"Given two input GEOGRAPHY objects, returns a GEOGRAPHY object that represents the combined set of shapes for both objects (i.e. the union of the two shapes).",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_union
ST_UNION_AGG,"Given a GEOGRAPHY column, returns a GEOGRAPHY object that represents the combined set of points that are in at least one of the shapes represented by the objects in the column (that is, the union of the shapes).",Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_union_agg
ST_WITHIN,Returns true if the first geospatial object is fully contained by the second geospatial object.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_within
ST_X,Returns the longitude (X coordinate) of a Point represented by a GEOGRAPHY or GEOMETRY object.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_x
ST_XMAX,Returns the maximum longitude (X coordinate) of all points contained in the specified GEOGRAPHY or GEOMETRY object.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_xmax
ST_XMIN,Returns the minimum longitude (X coordinate) of all points contained in the specified GEOGRAPHY or GEOMETRY object.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_xmin
ST_Y,Returns the latitude (Y coordinate) of a Point represented by a GEOGRAPHY or GEOMETRY object.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_y
ST_YMAX,Returns the maximum latitude (Y coordinate) of all points contained in the specified GEOGRAPHY or GEOMETRY object.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_ymax
ST_YMIN,Returns the minimum latitude (Y coordinate) of all points contained in the specified GEOGRAPHY or GEOMETRY object.,Geospatial functions,,geospatial,,https://docs.snowflake.com/en/sql-reference/functions/st_ymin
STAGE_DIRECTORY_FILE_REGISTRATION_HISTORY,This table function can be used to query information about the metadata history for a directory table.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/stage_directory_file_registration_history
STAGE_STORAGE_USAGE_HISTORY,"This table function can be used to query the average daily data storage usage, in bytes, for all the Snowflake stages in your account within a specified date range.","Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/stage_storage_usage_history
STARTSWITH,Returns true if expr1 starts with expr2.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/startswith
"STDDEV, STDDEV_SAMP",Returns the sample standard deviation (square root of sample variance) of non-NULL values.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/stddev
STDDEV_POP,Returns the population standard deviation (square root of variance) of non-NULL values.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/stddev_pop
STRIP_NULL_VALUE,Converts a JSON null value to a SQL NULL value.,Semi-structured and structured data functions,,semi-structured,json,https://docs.snowflake.com/en/sql-reference/functions/strip_null_value
STRTOK,Tokenizes a given string and returns the requested part.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/strtok
STRTOK_SPLIT_TO_TABLE,Tokenizes a string with the given set of delimiters and flattens the results into rows.,"String & binary functions , Table functions",,table,string,https://docs.snowflake.com/en/sql-reference/functions/strtok_split_to_table
STRTOK_TO_ARRAY,Tokenizes the given string using the given set of delimiters and returns the tokens as an array.,"String & binary functions , Semi-structured and structured data functions",,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/strtok_to_array
"SUBSTR , SUBSTRING","Returns the portion of the string or binary value from base_expr, starting from the character/byte specified by start_expr, with optionally limited length.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/substr
SUM,Returns the sum of non-NULL records for expr.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/sum
SUMMARIZE (SNOWFLAKE.CORTEX),Summarizes the given English-language input text.,String & binary functions,,string_binary,llm,https://docs.snowflake.com/en/sql-reference/functions/summarize-snowflake-cortex
SYSDATE,Returns the current timestamp for the system in the UTC time zone.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/sysdate
SYSTEM$ABORT_SESSION,Aborts the specified session.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_abort_session
SYSTEM$ABORT_TRANSACTION,"Aborts the specified transaction, if it is running.",System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_abort_transaction
SYSTEM$ADD_EVENT (for Snowflake Scripting),Add an event for trace.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_add_event
SYSTEM$ALLOWLIST,Returns hostnames and port numbers to add to your firewall’s allowed list so that you can access Snowflake from behind your firewall.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_allowlist
SYSTEM$ALLOWLIST_PRIVATELINK,"Returns hostnames and port numbers for AWS PrivateLink, Azure Private Link, and Google Cloud Private Service Connect deployments to add to your firewall’s allowed list so that you can access Snowflake from behind your firewall.",System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_allowlist_privatelink
SYSTEM$AUTHORIZE_PRIVATELINK,Enables private connectivity to the Snowflake service for the current account.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_authorize_privatelink
SYSTEM$AUTHORIZE_STAGE_PRIVATELINK_ACCESS,Authorizes Snowflake to access the Microsoft Azure Private Endpoint for Azure private endpoints for internal stages for the current account.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_authorize_stage_privatelink_access
SYSTEM$AUTO_REFRESH_STATUS,Returns the automated refresh status for an externally managed Iceberg table.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_auto_refresh_status
SYSTEM$BEHAVIOR_CHANGE_BUNDLE_STATUS,Returns the status of the specified behavior change release bundle for the current account.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_behavior_change_bundle_status
SYSTEM$BLOCK_INTERNAL_STAGES_PUBLIC_ACCESS,Prevents all public traffic from accessing the internal stage of the current Snowflake account on Microsoft Azure.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_block_internal_stages_public_access
SYSTEM$CANCEL_ALL_QUERIES,Cancels all active/running queries in the specified session.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_cancel_all_queries
SYSTEM$CANCEL_QUERY,Cancels the specified query (or statement) if it is currently active/running.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_cancel_query
SYSTEM$CLEANUP_DATABASE_ROLE_GRANTS,Revokes privileges on dropped objects from the share and grants the database role to the share.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_cleanup_database_role_grants
SYSTEM$CLIENT_VERSION_INFO,Returns version information for Snowflake clients and drivers.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_client_version_info
SYSTEM$CLUSTERING_DEPTH,Computes the average depth of the table according to the specified columns (or the clustering key defined for the table).,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_clustering_depth
SYSTEM$CLUSTERING_INFORMATION,"Returns clustering information, including average clustering depth, for a table based on one or more columns in the table.",System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_clustering_information
SYSTEM$CLUSTERING_RATIO — Deprecated,"Calculates the clustering ratio for a table, based on one or more columns in the table.",System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_clustering_ratio
SYSTEM$COMMIT_MOVE_ORGANIZATION_ACCOUNT,Finalizes the process of moving an organization account from one region to another.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_commit_move_organization_account
SYSTEM$CONVERT_PIPES_SQS_TO_SNS,Convert pipes using Amazon SQS (Simple Queue Service) notifications to the Amazon Simple Notification Service (SNS) service for an S3 bucket.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_convert_pipes_sqs_to_sns
SYSTEM$CREATE_BILLING_EVENT,Creates a billable event that tracks consumer usage of an installed monetized application.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_create_billing_event
SYSTEM$CREATE_BILLING_EVENTS,Creates multiple billable events that track consumer usage of installed monetized applications.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_create_billing_events
SYSTEM$CURRENT_USER_TASK_NAME,Returns the name of the task currently executing when invoked from the statement or stored procedure defined by the task.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_current_user_task_name
SYSTEM$DATA_METRIC_SCAN,Returns the rows identified by a data quality metric as containing data that failed a data quality check.,"System functions , Table functions",,system,,https://docs.snowflake.com/en/sql-reference/functions/system_data_metric_scan
SYSTEM$DATABASE_REFRESH_HISTORY — Deprecated,Returns a JSON object showing the refresh history for a secondary database.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_database_refresh_history
"SYSTEM$DATABASE_REFRESH_PROGRESS , SYSTEM$DATABASE_REFRESH_PROGRESS_BY_JOB — Deprecated",The SYSTEM$DATABASE_REFRESH_PROGRESS family of functions can be used to query the status of a database refresh along various dimensions.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_database_refresh_progress
SYSTEM$DEPROVISION_PRIVATELINK_ENDPOINT,Deprovisions a private connectivity endpoint in the Snowflake VPC or VNet to prevent Snowflake from connecting to an external service using private connectivity.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_deprovision_privatelink_endpoint
SYSTEM$DISABLE_BEHAVIOR_CHANGE_BUNDLE,Disables the behavior changes included in the specified behavior change release bundle for the current account.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_disable_behavior_change_bundle
SYSTEM$DISABLE_DATABASE_REPLICATION,Disable replication for a primary database and any secondary databases linked to it.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_disable_database_replication
SYSTEM$DISABLE_PREVIEW_ACCESS,Disables access to open preview and private preview features.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_disable_preview_access
SYSTEM$ENABLE_BEHAVIOR_CHANGE_BUNDLE,Enables behavior changes included in the specified behavior change release bundle for the current account.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_enable_behavior_change_bundle
SYSTEM$ENABLE_PREVIEW_ACCESS,Enables access to open preview features.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_enable_preview_access
SYSTEM$ESTIMATE_AUTOMATIC_CLUSTERING_COSTS,Returns estimated costs associated with enabling Automatic Clustering for a table.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_estimate_automatic_clustering_costs
SYSTEM$ESTIMATE_QUERY_ACCELERATION,"For a previously executed query, this function returns a JSON object that specifies if the query is eligible to benefit from the query acceleration service.",System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_estimate_query_acceleration
SYSTEM$ESTIMATE_SEARCH_OPTIMIZATION_COSTS,Returns the estimated costs of adding search optimization to a given table and configuring specific columns for search optimization.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_estimate_search_optimization_costs
SYSTEM$EXPLAIN_JSON_TO_TEXT,This function converts EXPLAIN output from JSON to formatted text.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_explain_json_to_text
SYSTEM$EXPLAIN_PLAN_JSON,"Given the text of a SQL statement, this function generates the EXPLAIN plan in JSON.",System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_explain_plan_json
SYSTEM$EXTERNAL_TABLE_PIPE_STATUS,Retrieves a JSON representation of the current refresh status for the internal (hidden) pipe object associated with an external table.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_external_table_pipe_status
SYSTEM$FINISH_OAUTH_FLOW,Sets the OAUTH_REFRESH_TOKEN parameter value of the secret passed as an argument in the SYSTEM$START_OAUTH_FLOW call that began the OAuth flow.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_finish_oauth_flow
SYSTEM$GENERATE_SAML_CSR,Generates a certificate signing request (CSR) with the subject set to the subject of the certificate stored in the SAML2 integration and can specify the DN to be used in the CSR.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_generate_saml_csr
SYSTEM$GENERATE_SCIM_ACCESS_TOKEN,Returns a new SCIM access token that is valid for six months.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_generate_scim_access_token
SYSTEM$GET_AWS_SNS_IAM_POLICY,Returns an AWS IAM policy statement that must be added to the Amazon SNS topic policy in order to grant the Amazon SQS messaging queue created by Snowflake to subscribe to the topic.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_aws_sns_iam_policy
SYSTEM$GET_CLASSIFICATION_RESULT,Returns the classification result of the specified object.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_classification_result
SYSTEM$GET_CMK_AKV_CONSENT_URL,Returns a consent URL to the Azure Key Vault account related to customer-managed keys.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_cmk_akv_consent_url
SYSTEM$GET_CMK_CONFIG,Returns configuration information for use with customer-managed keys (CMKs) and Tri-Secret Secure.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_cmk_config
SYSTEM$GET_CMK_INFO,Returns a status about your customer-managed key (CMK) for use with Tri-Secret Secure.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_cmk_info
SYSTEM$GET_CMK_KMS_KEY_POLICY,Returns an ARRAY containing a snippet of the AWS Key Management Service policy information related to customer-managed keys.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_cmk_kms_key_policy
SYSTEM$GET_COMPUTE_POOL_STATUS,Retrieves status of a compute pool.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_compute_pool_status
SYSTEM$GET_DIRECTORY_TABLE_STATUS,Returns a list of records that contain the directory table consistency status for stages in your account.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_directory_table_status
SYSTEM$GET_GCP_KMS_CMK_GRANT_ACCESS_CMD,Returns a Google Cloud gcloud command to obtain policy information for the Google Cloud Key Management Service for use with customer-managed keys.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_gcp_kms_cmk_grant_access_cmd
SYSTEM$GET_ICEBERG_TABLE_INFORMATION,Returns the location of the root metadata file and status of the latest snapshot for an Apache Iceberg™ table.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_iceberg_table_information
SYSTEM$GET_LOGIN_FAILURE_DETAILS,"Returns a JSON object that represents an unsuccessful login attempt associated with External OAuth, SAML, or key pair authentication.",System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_login_failure_details
SYSTEM$GET_PREDECESSOR_RETURN_VALUE,Retrieves the return value for the predecessor task in a task graph.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_predecessor_return_value
SYSTEM$GET_PREVIEW_ACCESS_STATUS,Determine if access to all preview features is enabled or disabled.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_preview_access_status
SYSTEM$GET_PRIVATELINK,Verifies whether your current account is authorized for private connectivity to the Snowflake service.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_privatelink
SYSTEM$GET_PRIVATELINK_AUTHORIZED_ENDPOINTS,Returns a list of the authorized endpoints for your current account to use with private connectivity to the Snowflake service.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_privatelink_authorized_endpoints
SYSTEM$GET_PRIVATELINK_CONFIG,Returns a JSON representation of the Snowflake account information necessary to facilitate the self-service configuration of private connectivity to the Snowflake service or Snowflake internal stages.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_privatelink_config
SYSTEM$GET_PRIVATELINK_ENDPOINTS_INFO,Returns the status of all private connectivity endpoints that you provision.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_privatelink_endpoints_info
SYSTEM$GET_SERVICE_LOGS,Retrieves local logs from a Snowpark Container Services service container.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_service_logs
SYSTEM$GET_SERVICE_STATUS — Deprecated,Retrieves the status of a Snowpark Container Services service.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_service_status
SYSTEM$GET_SNOWFLAKE_PLATFORM_INFO,Returns platform information for the cloud provider that hosts your Snowflake account.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_snowflake_platform_info
SYSTEM$GET_TAG,Returns the tag value associated with the specified Snowflake object or column.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_tag
SYSTEM$GET_TAG_ALLOWED_VALUES,"Returns a comma-separated list of string values that can be set on a supported object, or NULL to indicate the tag key does not have any specified string values and accepts all possible string values.",System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_tag_allowed_values
SYSTEM$GET_TAG_ON_CURRENT_COLUMN,Returns the tag string value assigned to the column based upon the specified tag or NULL if a tag is not assigned to the specified column.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_tag_on_current_column
SYSTEM$GET_TAG_ON_CURRENT_TABLE,Returns the tag string value assigned to the table based upon the specified tag or NULL if a tag is not assigned to the specified table.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_tag_on_current_table
SYSTEM$GET_TASK_GRAPH_CONFIG,Returns the value of the configuration string for the task currently executing when invoked from the statement or stored procedure defined by the task.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/system_get_task_graph_config
